"proj_id","proj_age_quarter","ci_age_month","Date","proj_age","n_pr_open","n_pr_core","n_pr_merged","n_pr_unmerged","n_core_merged","n_core_unmerged","n_issue_open","n_issue_proj_closed","team_size","test_files","test_loc","src_files","src_loc","n_star","n_fork"
10505,11,2,"00:00.0",33,6,0,1,5,0,0,8,3,2,66,1258,49,3609,1552,138
10505,12,3,"00:00.0",34,5,1,1,4,0,1,11,6,3,72,1343,50,4097,1612,165
10505,12,4,"00:00.0",35,5,2,3,2,1,1,7,14,4,72,1343,50,4097,1612,165
10505,12,5,"00:00.0",36,6,1,3,3,1,0,9,12,4,72,1343,50,4097,1612,165
10505,13,6,"00:00.0",37,8,3,4,4,1,2,8,11,4,73,1354,51,5822,1686,216
10505,13,8,"00:00.0",39,5,0,4,1,0,0,6,2,2,73,1354,51,5822,1686,216
10505,13,7,"00:00.0",38,12,2,1,11,0,2,10,8,3,73,1354,51,5822,1686,216
10505,14,11,"00:00.0",42,3,1,0,3,0,1,16,23,3,73,1366,51,5895,1702,255
10505,14,10,"00:00.0",41,3,0,2,1,0,0,3,2,3,73,1366,51,5895,1702,255
10505,14,9,"00:00.0",40,10,0,4,6,0,0,10,3,4,73,1366,51,5895,1702,255
10505,15,12,"00:00.0",43,5,0,2,3,0,0,14,3,2,73,1366,51,5907,1712,294
10505,7,-12,"00:00.0",20,2,0,0,2,0,0,9,9,3,52,1041,50,3141,1081,56
10505,7,-11,"00:00.0",21,3,0,0,3,0,0,3,11,3,52,1041,50,3141,1081,56
10505,8,-10,"00:00.0",22,11,1,2,9,1,0,13,9,3,52,1041,49,3150,1146,70
10505,8,-9,"00:00.0",23,5,2,1,4,0,2,8,6,2,52,1041,49,3150,1146,70
10505,8,-8,"00:00.0",24,3,1,0,3,0,1,4,3,3,52,1041,49,3150,1146,70
10505,9,-7,"00:00.0",25,0,0,0,0,0,0,5,1,3,52,1041,49,3150,1245,84
10505,9,-6,"00:00.0",26,0,0,0,0,0,0,2,3,2,52,1041,49,3150,1245,84
10505,9,-5,"00:00.0",27,5,0,0,5,0,0,6,7,3,52,1041,49,3150,1245,84
10739107,1,-1,"00:00.0",1,199,120,195,4,118,2,0,0,9,1059,141709,971,242155,33,22
10739107,1,1,"00:00.0",2,292,237,284,8,232,5,0,0,9,1059,141709,971,242155,33,22
10739107,1,2,"00:00.0",3,137,106,132,5,104,2,0,0,10,1059,141709,971,242155,33,22
10739107,2,3,"00:00.0",4,221,147,212,9,141,6,0,0,8,1082,144096,979,242634,41,23
1085,10,4,"00:00.0",29,8,0,6,2,0,0,9,4,3,36,3392,29,2385,7336,518
1085,10,5,"00:00.0",30,9,0,6,3,0,0,11,19,2,36,3392,29,2385,7336,518
1085,10,3,"00:00.0",28,13,0,9,4,0,0,11,4,2,36,3392,29,2385,7336,518
1085,11,7,"00:00.0",32,8,0,4,4,0,0,10,5,1,36,3689,29,2541,7858,726
1085,11,8,"00:00.0",33,5,0,3,2,0,0,6,0,2,36,3689,29,2541,7858,726
1085,11,6,"00:00.0",31,11,0,8,3,0,0,10,3,3,36,3689,29,2541,7858,726
1085,12,9,"00:00.0",34,6,0,4,2,0,0,6,21,2,36,3756,29,2576,8194,1017
1085,12,10,"00:00.0",35,6,0,5,1,0,0,10,2,2,36,3756,29,2576,8194,1017
1085,12,11,"00:00.0",36,17,0,8,9,0,0,6,2,2,36,3756,29,2576,8194,1017
1085,13,12,"00:00.0",37,6,0,2,4,0,0,6,0,2,37,4025,30,2779,8354,1383
1085,5,-12,"00:00.0",14,10,3,7,3,2,1,9,18,3,14,2069,20,1751,3716,115
1085,5,-11,"00:00.0",15,20,0,15,5,0,0,11,12,2,14,2069,20,1751,3716,115
1085,6,-9,"00:00.0",17,9,0,7,2,0,0,13,11,2,30,2777,26,2155,4155,152
1085,6,-10,"00:00.0",16,10,1,5,5,1,0,9,10,3,30,2777,26,2155,4155,152
1085,6,-8,"00:00.0",18,7,0,4,3,0,0,6,5,2,30,2777,26,2155,4155,152
1085,7,-5,"00:00.0",21,5,0,2,3,0,0,14,6,2,31,2902,26,2163,4528,196
1085,7,-7,"00:00.0",19,8,0,3,5,0,0,6,5,2,31,2902,26,2163,4528,196
1085,7,-6,"00:00.0",20,4,0,0,4,0,0,9,2,2,31,2902,26,2163,4528,196
1085,8,-3,"00:00.0",23,34,0,27,7,0,0,19,17,3,34,3172,26,2219,5292,258
1085,8,-2,"00:00.0",24,21,0,15,6,0,0,16,9,3,34,3172,26,2219,5292,258
1085,8,-4,"00:00.0",22,8,3,6,2,2,1,11,6,3,34,3172,26,2219,5292,258
1085,9,2,"00:00.0",27,14,0,10,4,0,0,9,4,3,35,3301,27,2331,6419,369
1085,9,1,"00:00.0",26,11,0,8,3,0,0,7,4,2,35,3301,27,2331,6419,369
1085,9,-1,"00:00.0",25,9,0,6,3,0,0,9,6,3,35,3301,27,2331,6419,369
11000,2,-12,"00:00.0",4,14,6,14,0,6,0,2,1,1,22,7402,65,26891,16,4
11000,2,-10,"00:00.0",6,22,13,22,0,13,0,2,0,1,22,7402,65,26891,16,4
11000,2,-11,"00:00.0",5,18,5,18,0,5,0,0,0,1,22,7402,65,26891,16,4
11000,3,-9,"00:00.0",7,15,8,15,0,8,0,0,0,1,36,10722,70,30561,16,7
11000,3,-7,"00:00.0",9,17,8,16,1,8,0,0,0,1,36,10722,70,30561,16,7
11000,3,-8,"00:00.0",8,18,9,18,0,9,0,0,0,2,36,10722,70,30561,16,7
11000,4,-5,"00:00.0",11,23,19,21,2,18,1,0,0,2,36,11971,73,38760,18,17
11000,4,-4,"00:00.0",12,26,19,24,2,18,1,1,0,3,36,11971,73,38760,18,17
11000,4,-6,"00:00.0",10,10,5,8,2,4,1,0,0,2,36,11971,73,38760,18,17
11000,5,-3,"00:00.0",13,27,15,25,2,13,2,0,3,3,52,16080,86,41065,24,26
11000,5,-1,"00:00.0",15,4,3,4,0,3,0,0,1,3,52,16080,86,41065,24,26
11000,5,-2,"00:00.0",14,16,10,13,3,10,0,0,0,4,52,16080,86,41065,24,26
11000,6,1,"00:00.0",16,10,5,9,1,5,0,0,0,4,59,16360,86,40949,26,33
11000,6,2,"00:00.0",17,16,10,13,3,8,2,0,0,3,59,16360,86,40949,26,33
11000,6,3,"00:00.0",18,5,4,4,1,3,1,0,0,1,59,16360,86,40949,26,33
11000,7,5,"00:00.0",20,13,4,12,1,4,0,0,0,2,71,18096,102,43971,31,35
11000,7,4,"00:00.0",19,4,2,4,0,2,0,0,0,2,71,18096,102,43971,31,35
11000,7,6,"00:00.0",21,5,0,3,2,0,0,0,0,1,71,18096,102,43971,31,35
11000,8,9,"00:00.0",24,8,5,7,1,5,0,0,0,2,74,18573,103,44232,33,36
11000,8,8,"00:00.0",23,7,7,6,1,6,1,0,0,1,74,18573,103,44232,33,36
11000,8,7,"00:00.0",22,7,4,7,0,4,0,0,0,2,74,18573,103,44232,33,36
11000,9,10,"00:00.0",25,6,5,6,0,5,0,0,0,2,85,21664,107,45749,36,37
11000,9,11,"00:00.0",26,3,1,2,1,1,0,0,0,2,85,21664,107,45749,36,37
11000,9,12,"00:00.0",27,8,3,7,1,3,0,0,0,2,85,21664,107,45749,36,37
11117,10,10,"00:00.0",28,121,61,112,9,56,5,40,13,7,284,26698,1464,193549,397,185
11117,10,11,"00:00.0",29,117,66,112,5,64,2,61,36,7,284,26698,1464,193549,397,185
11117,10,12,"00:00.0",30,77,46,74,3,46,0,65,40,8,284,26698,1464,193549,397,185
11117,3,-12,"00:00.0",7,1,1,1,0,1,0,3,0,3,129,8473,727,120433,192,24
11117,3,-11,"00:00.0",8,1,0,1,0,0,0,15,0,2,129,8473,727,120433,192,24
