"proj_id","repo_name","owner_login","language","﻿Id","ci_age","n_issues","n_tag_issues","n_bug_issues","proj_age","n_star","n_fork","n_core_issues","n_core_bugs","Date"
9459,"cas","Jasig","Java",374,11,165,156,40,35,391,268,149,36,"2014-07-24 16:36:42.0"
9459,"cas","Jasig","Java",375,12,14,10,3,36,412,272,11,2,"2014-08-23 16:36:42.0"
9459,"cas","Jasig","Java",376,13,11,9,2,37,433,275,6,0,"2014-09-22 16:36:42.0"
9459,"cas","Jasig","Java",377,14,12,4,1,38,451,279,6,1,"2014-10-22 16:36:42.0"
13347,"orbisgis","irstv","Java",505,-17,38,38,16,4,8,7,38,16,"2012-10-18 21:59:24.0"
13347,"orbisgis","irstv","Java",506,-16,7,7,2,5,8,7,7,2,"2012-11-17 21:59:24.0"
13347,"orbisgis","irstv","Java",507,-18,4,4,2,3,8,6,4,2,"2012-09-18 21:59:24.0"
13347,"orbisgis","irstv","Java",508,-20,33,33,15,1,8,6,33,15,"2012-07-20 21:59:24.0"
13347,"orbisgis","irstv","Java",509,-21,2,2,1,1,8,6,2,1,"2012-07-20 21:59:24.0"
13347,"orbisgis","irstv","Java",510,-15,3,3,1,6,8,8,3,1,"2012-12-17 21:59:24.0"
13347,"orbisgis","irstv","Java",511,-14,4,3,0,7,8,8,4,0,"2013-01-16 21:59:24.0"
13347,"orbisgis","irstv","Java",512,-13,8,5,1,8,8,8,8,1,"2013-02-15 21:59:24.0"
13347,"orbisgis","irstv","Java",513,-12,44,42,10,9,9,8,43,9,"2013-03-17 21:59:24.0"
13347,"orbisgis","irstv","Java",514,-11,29,24,5,10,9,8,29,5,"2013-04-16 21:59:24.0"
13347,"orbisgis","irstv","Java",515,-10,2,2,1,11,9,9,1,1,"2013-05-16 21:59:24.0"
13347,"orbisgis","irstv","Java",516,-9,23,15,5,12,9,9,22,5,"2013-06-15 21:59:24.0"
13347,"orbisgis","irstv","Java",517,-8,19,12,5,13,9,9,19,5,"2013-07-15 21:59:24.0"
13347,"orbisgis","irstv","Java",518,-7,10,3,3,14,10,9,10,3,"2013-08-14 21:59:24.0"
13347,"orbisgis","irstv","Java",519,-6,11,4,1,15,10,9,11,1,"2013-09-13 21:59:24.0"
13347,"orbisgis","irstv","Java",520,-5,22,11,1,16,11,9,22,1,"2013-10-13 21:59:24.0"
13347,"orbisgis","irstv","Java",521,-4,7,5,4,17,11,9,7,4,"2013-11-12 21:59:24.0"
13347,"orbisgis","irstv","Java",522,-3,1,0,0,18,11,9,1,0,"2013-12-12 21:59:24.0"
13347,"orbisgis","irstv","Java",523,-2,1,1,1,19,11,9,1,1,"2014-01-11 21:59:24.0"
13347,"orbisgis","irstv","Java",524,1,5,4,0,21,12,11,3,0,"2014-03-12 21:59:24.0"
13347,"orbisgis","irstv","Java",525,2,2,2,2,22,13,11,2,2,"2014-04-11 21:59:24.0"
