"proj_id","repo_name","owner_login","language","﻿Id","ci_age","n_issues","n_tag_issues","n_bug_issues","proj_age","n_star","n_fork","n_core_issues","n_core_bugs","Date"
7106,"wdntemplates","unl","JavaScript",566,-12,5,4,1,16,11,9,5,1,"2013-03-09 06:19:04.0"
7106,"wdntemplates","unl","JavaScript",567,-11,4,2,0,17,11,9,1,0,"2013-04-08 06:19:04.0"
7106,"wdntemplates","unl","JavaScript",568,-10,3,1,0,18,11,9,3,0,"2013-05-08 06:19:04.0"
7106,"wdntemplates","unl","JavaScript",569,-9,49,32,0,19,11,10,47,0,"2013-06-07 06:19:04.0"
7106,"wdntemplates","unl","JavaScript",570,-8,8,8,2,20,11,13,8,2,"2013-07-07 06:19:04.0"
7106,"wdntemplates","unl","JavaScript",571,-7,6,4,0,21,11,14,4,0,"2013-08-06 06:19:04.0"
7106,"wdntemplates","unl","JavaScript",572,-6,2,1,0,23,11,16,2,0,"2013-10-05 06:19:04.0"
7106,"wdntemplates","unl","JavaScript",573,-5,14,13,3,24,11,16,14,3,"2013-11-04 06:19:04.0"
7106,"wdntemplates","unl","JavaScript",574,-4,4,3,3,24,11,16,4,3,"2013-11-04 06:19:04.0"
7106,"wdntemplates","unl","JavaScript",575,-3,9,7,3,25,11,16,8,3,"2013-12-04 06:19:04.0"
7106,"wdntemplates","unl","JavaScript",576,1,8,7,0,28,13,16,8,0,"2014-03-04 06:19:04.0"
7106,"wdntemplates","unl","JavaScript",577,2,3,3,0,30,13,19,3,0,"2014-05-03 06:19:04.0"
7106,"wdntemplates","unl","JavaScript",578,4,3,3,1,31,14,19,2,1,"2014-06-02 06:19:04.0"
7106,"wdntemplates","unl","JavaScript",579,5,1,1,0,33,15,19,1,0,"2014-08-01 06:19:04.0"
7106,"wdntemplates","unl","JavaScript",580,6,4,1,0,33,15,19,4,0,"2014-08-01 06:19:04.0"
7106,"wdntemplates","unl","JavaScript",581,8,1,1,0,35,15,19,1,0,"2014-09-30 06:19:04.0"
7106,"wdntemplates","unl","JavaScript",582,9,1,0,0,36,15,19,1,0,"2014-10-30 06:19:04.0"
9459,"cas","Jasig","Java",362,-15,1,0,0,11,272,51,0,0,"2012-08-03 16:36:42.0"
9459,"cas","Jasig","Java",363,-16,1,0,0,9,242,37,0,0,"2012-06-04 16:36:42.0"
9459,"cas","Jasig","Java",364,-17,1,0,0,9,242,37,0,0,"2012-06-04 16:36:42.0"
9459,"cas","Jasig","Java",365,-18,1,0,0,7,216,31,0,0,"2012-04-05 16:36:42.0"
9459,"cas","Jasig","Java",366,-24,1,0,0,2,161,10,0,0,"2011-11-07 16:36:42.0"
9459,"cas","Jasig","Java",367,-25,1,0,0,1,152,7,0,0,"2011-10-08 16:36:42.0"
9459,"cas","Jasig","Java",368,-10,2,0,0,16,312,86,0,0,"2012-12-31 16:36:42.0"
9459,"cas","Jasig","Java",369,-9,2,0,0,17,319,91,0,0,"2013-01-30 16:36:42.0"
9459,"cas","Jasig","Java",370,-7,1,0,0,19,329,109,0,0,"2013-03-31 16:36:42.0"
9459,"cas","Jasig","Java",371,-5,1,0,0,21,335,128,0,0,"2013-05-30 16:36:42.0"
9459,"cas","Jasig","Java",372,-4,3,0,0,21,335,128,0,0,"2013-05-30 16:36:42.0"
9459,"cas","Jasig","Java",373,-3,2,0,0,22,337,135,0,0,"2013-06-29 16:36:42.0"
